Time;Latitude;Longitude;Accuracy;Cell ID;LAC;MCC;MNC;Color;Signal Strength;Type;
2014-08-05 18-13-15;45.04781359;7.67623649;29;33396;13041;222;88;#ffbb00;-91;UMTS;
2014-08-05 18-13-30;45.04774112;7.67640374;34;33396;13041;222;88;#ffbb00;-91;UMTS;
2014-08-05 18-13-31;45.0477173;7.676064;40;33396;13041;222;88;#ffbb00;-91;UMTS;
2014-08-05 18-13-35;45.04768605;7.67645508;28;33396;13041;222;88;#ffbb00;-91;UMTS;
2014-08-05 18-13-45;45.04767032;7.67657966;26;33396;13041;222;88;#ffbb00;-91;UMTS;
2014-08-05 18-13-50;45.04768492;7.67667974;28;33396;13041;222;88;#ffbb00;-91;UMTS;
2014-08-05 18-13-51;45.0477173;7.676064;40;33396;13041;222;88;#ffbb00;-91;UMTS;
2014-08-05 18-13-55;45.04755827;7.67681108;15;33396;13041;222;88;#ffbb00;-91;UMTS;
2014-08-05 18-14-00;45.04751324;7.67691354;13;33396;13041;222;88;#ffbb00;-91;UMTS;
2014-08-05 18-14-05;45.04748754;7.6770073;14;33396;13041;222;88;#ffbb00;-91;UMTS;
2014-08-05 18-14-10;45.04741978;7.67707725;14;33396;13041;222;88;#ffbb00;-91;UMTS;
2014-08-05 18-14-15;45.0473736;7.67715807;13;33396;13041;222;88;#ffbb00;-91;UMTS;
2014-08-05 18-14-20;45.04735787;7.6772574;17;33396;13041;222;88;#ffbb00;-91;UMTS;
2014-08-05 18-14-25;45.04742124;7.67732127;30;142064-8;12232;222;88;#ff7300;-117;LTE;
