Time;Latitude;Longitude;Accuracy;Cell ID;LAC;MCC;MNC;Color;Signal Strength;Type;
2014-08-29 18-49-51;45.05248349;7.6641755;8;142050-7;12232;222;88;#ff6b00;-119;LTE;
2014-08-29 18-49-56;45.05229694;7.66393595;12;142050-7;12232;222;88;#ff6b00;-119;LTE;
2014-08-29 18-49-59;45.0554456;7.6671019;37;142050-7;12232;222;88;#ff6b00;-119;LTE;
2014-08-29 18-50-05;45.05197807;7.66367071;14;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-50-11;45.05177526;7.66342172;11;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-50-21;45.0515909;7.66318365;11;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-50-25;45.0514827;7.6628814;40;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-50-26;45.05145982;7.6630433;12;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-50-36;45.05145167;7.66316915;12;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-50-39;45.0514827;7.6628814;40;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-50-41;45.05139538;7.6633044;12;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-50-46;45.05124739;7.66348759;12;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-50-51;45.05111644;7.66372525;13;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-50-56;45.05097262;7.66414503;14;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-50-59;45.0514827;7.6628814;40;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-51-01;45.05077899;7.66449064;25;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-51-11;45.05029708;7.66511764;13;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-51-16;45.05005371;7.66537503;11;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-51-20;45.0514827;7.6628814;40;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-51-21;45.0498582;7.66570636;12;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-51-26;45.04965712;7.66615902;11;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-51-31;45.04946964;7.66656613;12;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-51-40;45.0499198;7.6658606;37;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-51-41;45.04909774;7.66743223;12;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-51-46;45.0488889;7.66782111;12;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-51-51;45.04869757;7.66820829;14;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-51-56;45.0485468;7.66848919;14;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-52-01;45.0499198;7.6658606;37;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-52-06;45.04833969;7.66905572;13;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-52-11;45.04824222;7.66937391;11;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-52-16;45.04816611;7.66966928;10;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-52-21;45.04804672;7.66994315;11;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-52-22;45.0485876;7.6687421;36;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-52-31;45.04793763;7.67074772;12;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-52-36;45.04785728;7.67119703;12;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-52-41;45.04772794;7.67173176;15;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-52-43;45.0477194;7.6716271;36;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-52-46;45.04760054;7.67212684;20;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-52-56;45.04745852;7.67275102;12;17352;13041;222;88;#ffaa00;-93;UMTS;
